date,y,Dp,eq,ep,r,ys,Dps,eqs,rs,lrs,poil,pmat,pmetal
1987Q2,3.64390323,0.005237529,1.034586292,-3.270861531,0.005153197,3.915853424,0.018239498,1.220422614,0.023901357,0.0198436,2.927671072,4.470190573,4.013063593
1987Q3,3.66695665,-7.9996E-06,1.150346902,-3.255466571,0.006368199,3.93725212,0.016501712,1.336914432,0.021253708,0.021375943,2.949915944,4.54813331,4.149138756
1987Q4,3.69001007,0.000467747,0.615305084,-3.269318206,0.007286937,3.956757916,0.019304871,1.047700305,0.02169846,0.021811686,2.893609265,4.58545385,4.264230816
1988Q1,3.713063491,0.004463315,0.743903449,-3.246216706,0.008006246,3.97391587,0.022436025,1.109728753,0.023175215,0.020223521,2.761788855,4.562292262,4.405322214
1988Q2,3.739892149,0.00605209,0.913903856,-3.243611293,0.008717069,3.996185464,0.024816292,1.177640471,0.024185517,0.020474662,2.785770688,4.622320169,4.629567185
1988Q3,3.737099239,0.013271937,0.950077546,-3.230900156,0.008288568,4.012908585,0.033430276,1.212211947,0.027093059,0.021425306,2.670122565,4.550979487,4.504191173
1988Q4,3.766268699,0.008472839,0.960751947,-3.229816319,0.009246863,4.03178015,0.028240119,1.235420735,0.029015758,0.020879965,2.598154457,4.489267852,4.55654395
1989Q1,3.791558226,0.005219121,1.064061072,-3.21599685,0.012791288,4.042043918,0.023186443,1.294982818,0.02952146,0.021464703,2.861286177,4.546856266,4.571073716
1989Q2,3.811882985,0.003742976,1.158182032,-3.235270662,0.013593636,4.055259172,0.027153969,1.356865617,0.034654715,0.022298749,2.924849863,4.572137244,4.469386718
1989Q3,3.833265986,0.006237723,1.201754066,-3.244420316,0.013012877,4.065650011,0.026119797,1.428405034,0.03281098,0.021737142,2.864130695,4.646611875,4.371404303
1989Q4,3.868419275,0.00851144,1.290905453,-3.249154078,0.01214675,4.080442348,0.019547551,1.434008742,0.037429987,0.021984586,2.963467313,4.615986629,4.3193249
1990Q1,3.903378335,0.005544189,1.409155933,-3.249642457,0.012009375,4.100009788,0.033538647,1.410208913,0.042005125,0.023168052,2.988069657,4.634573846,4.23774083
1990Q2,3.910064825,0.007841184,1.374459014,-3.257852713,0.014233679,4.11169932,0.023007877,1.406165367,0.028082366,0.023666192,2.770347201,4.67061743,4.292932382
1990Q3,3.92974006,-0.000362344,1.347027457,-3.261373869,0.015587148,4.122229633,0.018009512,1.311245884,0.029363588,0.024197079,3.273512221,4.626297924,4.394218435
1990Q4,3.938173199,0.016685195,1.258105016,-3.277503354,0.017499655,4.128945014,0.022501038,1.190522268,0.029816282,0.024003343,3.482146033,4.574614479,4.295763401
1991Q1,3.976512539,0.012574403,1.380035961,-3.280066311,0.016500768,4.14636878,0.016848027,1.276074324,0.02779734,0.022813174,3.034424001,4.529542104,4.223649922
1991Q2,3.979796026,0.01424121,1.492032589,-3.280530104,0.017047804,4.155095875,0.015854985,1.330366849,0.024583483,0.022619627,2.933541178,4.592007427,4.156470302
1991Q3,4.032003456,0.005443157,1.388122284,-3.283264456,0.018085584,4.168593924,0.017023255,1.317877512,0.025253255,0.022433785,2.989216527,4.543306313,4.109534929
1991Q4,4.0610665,0.009485652,1.353731043,-3.303690408,0.018561098,4.178197649,0.01761346,1.304680516,0.026484508,0.021490967,3.020652856,4.500421829,4.065633374
1992Q1,4.073628164,0.013017585,1.443418258,-3.367508807,0.018510028,4.198530611,0.014649325,1.354218834,0.024643484,0.020992434,2.901457821,4.469744928,4.094895698
1992Q2,4.079463235,0.016049049,1.432778303,-3.416976647,0.019143019,4.209102323,0.016770896,1.320379622,0.023505434,0.02090548,3.001829035,4.55079604,4.12876302
1992Q3,4.103861868,0.012320399,1.443841507,-3.439597851,0.01857579,4.224517167,0.015679879,1.245010958,0.023354543,0.019911027,3.002616134,4.533985211,4.161403319
1992Q4,4.136161128,0.007704508,1.542134545,-3.426046899,0.017558692,4.239230194,0.016504246,1.288517631,0.023004098,0.019106153,2.954236365,4.560108495,4.056866807
1993Q1,4.153824073,0.006293083,1.538276631,-3.409747969,0.017297546,4.252870779,0.021433038,1.338170127,0.022605216,0.017795104,2.900529866,4.599080602,4.038821207
1993Q2,4.194453495,0.007641776,1.682202194,-3.432528373,0.016657521,4.268726424,0.02296581,1.386269635,0.023462686,0.017153764,2.903960332,4.69100383,3.965546858
1993Q3,4.209272303,0.008956063,1.80512276,-3.447056207,0.015472825,4.286139932,0.021631271,1.448036251,0.024009441,0.016229952,2.802879369,4.679706263,3.958303864
1993Q4,4.213712825,0.00324142,2.079498991,-3.438862255,0.013355972,4.30584845,0.022400841,1.560425504,0.023630743,0.015329265,2.712475179,4.668607613,3.893799745
1994Q1,4.233001751,0.01963846,2.023877936,-3.404632946,0.007555495,4.321829205,0.031489858,1.606274217,0.025330015,0.015801484,2.635957291,4.673890962,3.991729003
1994Q2,4.264202105,0.00145122,1.982428174,-3.441558072,0.008618883,4.332916182,0.026566907,1.586110657,0.027257137,0.017571508,2.775852621,4.775628957,4.059638431
1994Q3,4.302465167,0.011684398,2.052219659,-3.475424976,0.009750677,4.345649669,0.025111361,1.601517082,0.018451176,0.018779735,2.819986872,4.788810504,4.159597431
1994Q4,4.322574866,0.010937282,1.984583729,-3.493304293,0.01022149,4.355394438,0.01707299,1.573140031,0.018702167,0.019664152,2.805078272,4.781619195,4.308599134
1995Q1,4.329886072,0.007767979,1.878515314,-3.5029787,0.012268959,4.370536506,0.015781754,1.494486655,0.020882057,0.019566924,2.827044026,4.825644825,4.361523309
1995Q2,4.376364959,0.006148333,1.967413624,-3.545908168,0.01317342,4.387562781,0.015127586,1.51473848,0.020245554,0.017813802,2.898046747,4.862756289,4.317284064
1995Q3,4.382338095,0.009793952,1.972076683,-3.542902506,0.013520226,4.405975394,0.012397043,1.551407133,0.018935614,0.016817591,2.784494469,4.74638723,4.350319108
1995Q4,4.411070772,0.009023895,1.922990914,-3.53264812,0.014608096,4.413396391,0.010010819,1.556274044,0.01886681,0.015556337,2.832496975,4.710350437,4.292350039
1996Q1,4.443580799,0.007385901,2.044840375,-3.535343851,0.015217324,4.429917655,0.013166383,1.622199698,0.01767373,0.015590057,2.925734187,4.69669515,4.25428783
1996Q2,4.457931873,0.009943241,2.087197607,-3.5655941,0.015328637,4.442693392,0.012269878,1.645281195,0.016850133,0.016193427,2.969032841,4.744507059,4.237358684
1996Q3,4.478992037,0.009341155,2.04798534,-3.575602403,0.015825846,4.452023831,0.008117317,1.576176199,0.017005523,0.016009737,3.021733679,4.786631417,4.139491662
1996Q4,4.502884003,0.006292056,2.133244208,-3.570230392,0.015775787,4.46902903,0.007726891,1.565696,0.016427627,0.014868126,3.142839573,4.776831871,4.145691917
1997Q1,4.523062055,0.005258682,2.154816287,-3.590669682,0.015253384,4.476091542,0.008337371,1.580514482,0.015706521,0.0147739,3.053120291,4.776842789,4.23673865
1997Q2,4.536477998,0.003569696,2.015637896,-3.583806169,0.015586373,4.494455279,0.007162279,1.576503937,0.016030478,0.014791967,2.893991572,4.742201302,4.240186607
1997Q3,4.557243111,0.0078524,1.818857533,-3.467487734,0.015044766,4.499820159,0.008542795,1.60662968,0.020439818,0.013950145,2.91907423,4.688042787,4.238410802
1997Q4,4.55900314,0.010090125,1.452761683,-3.240628507,0.016215859,4.507521298,0.007743007,1.471685887,0.021158173,0.01373341,2.929249835,4.646014598,4.152670765
1998Q1,4.488043534,0.020331384,1.55319629,-3.180909367,0.014446136,4.493848717,0.015933378,1.548442085,0.023419164,0.013841212,2.644558046,4.561792554,4.073240348
1998Q2,4.481253476,0.017502345,1.338590551,-3.211474706,0.021266747,4.491300979,0.011975683,1.466565954,0.022564263,0.013386951,2.587177232,4.592966791,4.038160121
1998Q3,4.444854328,0.007401297,0.92742972,-3.172843036,0.016752624,4.495398326,0.012655378,1.355081682,0.020571852,0.012070788,2.519027984,4.54015653,3.997942473
1998Q4,4.452133181,0.007031174,1.216042034,-3.24116734,0.013853946,4.511922956,0.005974922,1.471760409,0.016036585,0.010330777,2.40651415,4.474994369,3.956016103
1999Q1,4.477602722,0.007088123,1.318483874,-3.248264235,0.013212146,4.523432575,0.001591656,1.552834507,0.014093875,0.010776764,2.408715312,4.507673525,3.904220957
1999Q2,4.519936679,0.004629853,1.595045273,-3.252859,0.007642801,4.537617792,0.000432275,1.72569286,0.011342221,0.011055624,2.729517749,4.503897988,3.968962849
1999Q3,4.532457884,0.004276101,1.607866521,-3.257108787,0.006993756,4.55118094,0.002966052,1.761765132,0.009854196,0.012343117,3.011145486,4.53907157,4.063035222
1999Q4,4.551216731,0.004110249,1.630257349,-3.261245351,0.006744865,4.566229207,0.004577873,1.82024477,0.009993006,0.012918671,3.179908993,4.588167299,4.108001711
2000Q1,4.587712885,0.003170098,1.873737737,-3.264441764,0.00677567,4.585973421,0.006230715,1.856484442,0.009776449,0.013185639,3.282078839,4.584396591,4.176925794
2000Q2,4.602669136,0.002534566,1.749425929,-3.26697633,0.006800001,4.602181008,0.002270103,1.764961914,0.010208699,0.01272303,3.288970038,4.601025412,4.116006868
2000Q3,4.609190824,0.004550702,1.611048922,-3.271527032,0.007363,4.614037559,0.008787502,1.728411505,0.010588349,0.012352792,3.419072562,4.585574562,4.148234615
2000Q4,4.615170807,0.005865094,1.532614707,-3.277392126,0.00727074,4.622819611,0.006627102,1.628917288,0.011135464,0.011773272,3.407821547,4.585313803,4.110774869
2001Q1,4.616306133,0.002717229,1.483705159,-3.280240943,0.007025358,4.628518764,0.006221009,1.610154813,0.010880937,0.010600352,3.267607379,4.598154903,4.112448627
2001Q2,4.60331718,0.002340187,1.302840119,-3.282537265,0.006921617,4.630879033,0.005600014,1.560411005,0.010030526,0.011165952,3.319570086,4.650531502,4.072232297
2001Q3,4.606057705,0.002243697,1.4042939,-3.284737099,0.006879472,4.630439358,0.004265102,1.445469539,0.009864203,0.010624465,3.253357516,4.519680279,3.98160217
2001Q4,4.615470689,0.00414931,1.395876296,-3.288886409,0.0067124,4.638196755,0.002056175,1.437389512,0.008653345,0.010395025,3.005029826,4.436540871,3.945185617
2002Q1,4.628106889,0.006190531,1.516544902,-3.29507694,0.006732697,4.653782345,0.003809431,1.533879187,0.008251242,0.011081515,3.064004052,4.46323225,4.000199134
2002Q2,4.643763471,0.006824419,1.563028373,-3.30190136,0.006720529,4.67171854,0.004596031,1.507121982,0.008268898,0.011100947,3.238551747,4.539433428,4.006903961
2002Q3,4.661662157,0.002937523,1.487764268,-3.304663452,0.006721332,4.680756124,0.004375505,1.365578119,0.008022488,0.009851139,3.28434573,4.602942733,3.97364181
2002Q4,4.666643851,0.001274324,1.416158467,-3.30598163,0.006779734,4.687479251,0.006102223,1.330282473,0.007200921,0.009280098,3.280141952,4.597657467,3.998479324
